Agent,Trial,Step,Reward,Cumulative Reward,Steps to Converge
QLearningAgent,1,310,-0.1,-31.100000000000172,
QLearningAgent,1,311,-0.1,-31.200000000000173,
QLearningAgent,1,312,-0.1,-31.300000000000175,
QLearningAgent,1,313,-0.1,-31.400000000000176,
QLearningAgent,1,314,-0.1,-31.500000000000178,
QLearningAgent,1,315,-0.1,-31.60000000000018,
QLearningAgent,1,316,-0.1,-31.70000000000018,
QLearningAgent,1,317,-0.1,-31.800000000000182,
QLearningAgent,1,318,-0.1,-31.900000000000183,
QLearningAgent,1,319,-0.1,-32.000000000000185,
QLearningAgent,1,320,-0.1,-32.100000000000186,
QLearningAgent,1,321,-0.1,-32.20000000000019,
QLearningAgent,1,322,-0.1,-32.30000000000019,
QLearningAgent,1,323,-0.1,-32.40000000000019,
QLearningAgent,1,324,-0.1,-32.50000000000019,
QLearningAgent,1,325,-0.1,-32.60000000000019,
QLearningAgent,1,326,-0.1,-32.700000000000195,
QLearningAgent,1,327,-0.1,-32.800000000000196,
QLearningAgent,1,328,-0.1,-32.9000000000002,
QLearningAgent,1,329,-0.1,-33.0000000000002,
QLearningAgent,1,330,-0.1,-33.1000000000002,
QLearningAgent,1,331,-0.1,-33.2000000000002,
QLearningAgent,1,332,-0.1,-33.3000000000002,
QLearningAgent,1,333,-0.1,-33.400000000000205,
QLearningAgent,1,334,-0.1,-33.500000000000206,
QLearningAgent,1,335,-0.1,-33.60000000000021,
QLearningAgent,1,336,-0.1,-33.70000000000021,
QLearningAgent,1,337,-0.1,-33.80000000000021,
QLearningAgent,1,338,-0.1,-33.90000000000021,
QLearningAgent,1,339,-0.1,-34.00000000000021,
QLearningAgent,1,340,-0.1,-34.100000000000215,
QLearningAgent,1,341,-0.1,-34.200000000000216,
QLearningAgent,1,342,-0.1,-34.30000000000022,
QLearningAgent,1,343,-0.1,-34.40000000000022,
QLearningAgent,1,344,-0.1,-34.50000000000022,
QLearningAgent,1,345,-0.1,-34.60000000000022,
QLearningAgent,1,346,-0.1,-34.70000000000022,
QLearningAgent,1,347,-0.1,-34.800000000000225,
QLearningAgent,1,348,-0.1,-34.900000000000226,
QLearningAgent,1,349,-0.1,-35.00000000000023,
QLearningAgent,1,350,-0.1,-35.10000000000023,
QLearningAgent,1,351,-0.1,-35.20000000000023,
QLearningAgent,1,352,-0.1,-35.30000000000023,
QLearningAgent,1,353,-0.1,-35.40000000000023,
QLearningAgent,1,354,-0.1,-35.500000000000234,
QLearningAgent,1,355,-0.1,-35.600000000000236,
QLearningAgent,1,356,-0.1,-35.70000000000024,
QLearningAgent,1,357,-0.1,-35.80000000000024,
QLearningAgent,1,358,-0.1,-35.90000000000024,
QLearningAgent,1,359,-0.1,-36.00000000000024,
QLearningAgent,1,360,-0.1,-36.10000000000024,
QLearningAgent,1,361,-0.1,-36.200000000000244,
QLearningAgent,1,362,-0.1,-36.300000000000246,
QLearningAgent,1,363,-0.1,-36.40000000000025,
QLearningAgent,1,364,-0.1,-36.50000000000025,
QLearningAgent,1,365,-0.1,-36.60000000000025,
QLearningAgent,1,366,-0.1,-36.70000000000025,
QLearningAgent,1,367,-0.1,-36.80000000000025,
QLearningAgent,1,368,-0.1,-36.900000000000254,
QLearningAgent,1,369,-0.1,-37.000000000000256,
QLearningAgent,1,370,-0.1,-37.10000000000026,
QLearningAgent,1,371,-0.1,-37.20000000000026,
QLearningAgent,1,372,-0.1,-37.30000000000026,
QLearningAgent,1,373,-0.1,-37.40000000000026,
QLearningAgent,1,374,-0.1,-37.50000000000026,
QLearningAgent,1,375,-0.1,-37.600000000000264,
QLearningAgent,1,376,-0.1,-37.700000000000266,
QLearningAgent,1,377,-0.1,-37.80000000000027,
QLearningAgent,1,378,-0.1,-37.90000000000027,
QLearningAgent,1,379,-0.1,-38.00000000000027,
QLearningAgent,1,380,-0.1,-38.10000000000027,
QLearningAgent,1,381,-0.1,-38.20000000000027,
QLearningAgent,1,382,-0.1,-38.300000000000274,
QLearningAgent,1,383,-0.1,-38.400000000000276,
QLearningAgent,1,384,-0.1,-38.50000000000028,
QLearningAgent,1,385,-0.1,-38.60000000000028,
QLearningAgent,1,386,-0.1,-38.70000000000028,
QLearningAgent,1,387,-0.1,-38.80000000000028,
QLearningAgent,1,388,-0.1,-38.90000000000028,
QLearningAgent,1,389,-0.1,-39.000000000000284,
QLearningAgent,1,390,-0.1,-39.100000000000286,
QLearningAgent,1,391,-0.1,-39.20000000000029,
QLearningAgent,1,392,-0.1,-39.30000000000029,
QLearningAgent,1,393,-0.1,-39.40000000000029,
QLearningAgent,1,394,-0.1,-39.50000000000029,
QLearningAgent,1,395,-0.1,-39.60000000000029,
QLearningAgent,1,396,-0.1,-39.700000000000294,
QLearningAgent,1,397,-0.1,-39.800000000000296,
QLearningAgent,1,398,-0.1,-39.9000000000003,
QLearningAgent,1,399,-0.1,-40.0000000000003,
QLearningAgent,1,400,-0.1,-40.1000000000003,
QLearningAgent,1,401,-0.1,-40.2000000000003,
QLearningAgent,1,402,-0.1,-40.3000000000003,
QLearningAgent,1,403,-0.1,-40.400000000000304,
QLearningAgent,1,404,-0.1,-40.500000000000306,
QLearningAgent,1,405,-0.1,-40.60000000000031,
QLearningAgent,1,406,-0.1,-40.70000000000031,
QLearningAgent,1,407,-0.1,-40.80000000000031,
QLearningAgent,1,408,-0.1,-40.90000000000031,
QLearningAgent,1,409,-0.1,-41.00000000000031,
QLearningAgent,1,410,-0.1,-41.100000000000314,
QLearningAgent,1,411,-0.1,-41.200000000000315,
QLearningAgent,1,412,-0.1,-41.30000000000032,
QLearningAgent,1,413,-0.1,-41.40000000000032,
QLearningAgent,1,414,-0.1,-41.50000000000032,
QLearningAgent,1,415,-0.1,-41.60000000000032,
QLearningAgent,1,416,-0.1,-41.70000000000032,
QLearningAgent,1,417,-0.1,-41.800000000000324,
QLearningAgent,1,418,-0.1,-41.900000000000325,
QLearningAgent,1,419,-0.1,-42.00000000000033,
QLearningAgent,1,420,-0.1,-42.10000000000033,
QLearningAgent,1,421,-0.1,-42.20000000000033,
QLearningAgent,1,422,-0.1,-42.30000000000033,
QLearningAgent,1,423,-0.1,-42.40000000000033,
QLearningAgent,1,424,-0.1,-42.500000000000334,
QLearningAgent,1,425,-0.1,-42.600000000000335,
QLearningAgent,1,426,-0.1,-42.70000000000034,
QLearningAgent,1,427,-0.1,-42.80000000000034,
QLearningAgent,1,428,-0.1,-42.90000000000034,
QLearningAgent,1,429,-0.1,-43.00000000000034,
QLearningAgent,1,430,-0.1,-43.10000000000034,
QLearningAgent,1,431,-0.1,-43.200000000000344,
QLearningAgent,1,432,-0.1,-43.300000000000345,
QLearningAgent,1,433,-0.1,-43.40000000000035,
QLearningAgent,1,434,-0.1,-43.50000000000035,
QLearningAgent,1,435,-0.1,-43.60000000000035,
QLearningAgent,1,436,-0.1,-43.70000000000035,
QLearningAgent,1,437,-0.1,-43.80000000000035,
QLearningAgent,1,438,-0.1,-43.900000000000354,
QLearningAgent,1,439,-0.1,-44.000000000000355,
QLearningAgent,1,440,-0.1,-44.10000000000036,
QLearningAgent,1,441,-0.1,-44.20000000000036,
QLearningAgent,1,442,-0.1,-44.30000000000036,
QLearningAgent,1,443,-0.1,-44.40000000000036,
QLearningAgent,1,444,-0.1,-44.50000000000036,
QLearningAgent,1,445,-0.1,-44.600000000000364,
QLearningAgent,1,446,-0.1,-44.700000000000365,
QLearningAgent,1,447,-0.1,-44.80000000000037,
QLearningAgent,1,448,-0.1,-44.90000000000037,
QLearningAgent,1,449,-0.1,-45.00000000000037,
QLearningAgent,1,450,-0.1,-45.10000000000037,
QLearningAgent,1,451,-0.1,-45.20000000000037,
QLearningAgent,1,452,-0.1,-45.300000000000374,
QLearningAgent,1,453,-0.1,-45.400000000000375,
QLearningAgent,1,454,-0.1,-45.50000000000038,
QLearningAgent,1,455,-0.1,-45.60000000000038,
QLearningAgent,1,456,-0.1,-45.70000000000038,
QLearningAgent,1,457,-0.1,-45.80000000000038,
QLearningAgent,1,458,-0.1,-45.90000000000038,
QLearningAgent,1,459,-0.1,-46.000000000000384,
QLearningAgent,1,460,-0.1,-46.100000000000385,
QLearningAgent,1,461,-0.1,-46.20000000000039,
QLearningAgent,1,462,-0.1,-46.30000000000039,
QLearningAgent,1,463,-0.1,-46.40000000000039,
QLearningAgent,1,464,-0.1,-46.50000000000039,
QLearningAgent,1,465,-0.1,-46.60000000000039,
QLearningAgent,1,466,-0.1,-46.700000000000394,
QLearningAgent,1,467,-0.1,-46.800000000000395,
QLearningAgent,1,468,-0.1,-46.9000000000004,
QLearningAgent,1,469,-0.1,-47.0000000000004,
QLearningAgent,1,470,-0.1,-47.1000000000004,
QLearningAgent,1,471,-0.1,-47.2000000000004,
QLearningAgent,1,472,-0.1,-47.3000000000004,
QLearningAgent,1,473,-0.1,-47.400000000000404,
QLearningAgent,1,474,-0.1,-47.500000000000405,
QLearningAgent,1,475,-0.1,-47.600000000000406,
QLearningAgent,1,476,-0.1,-47.70000000000041,
QLearningAgent,1,477,-0.1,-47.80000000000041,
QLearningAgent,1,478,-0.1,-47.90000000000041,
QLearningAgent,1,479,-0.1,-48.00000000000041,
QLearningAgent,1,480,-0.1,-48.10000000000041,
QLearningAgent,1,481,-0.1,-48.200000000000415,
QLearningAgent,1,482,-0.1,-48.300000000000416,
QLearningAgent,1,483,-0.1,-48.40000000000042,
QLearningAgent,1,484,-0.1,-48.50000000000042,
QLearningAgent,1,485,-0.1,-48.60000000000042,
QLearningAgent,1,486,-0.1,-48.70000000000042,
QLearningAgent,1,487,-0.1,-48.80000000000042,
QLearningAgent,1,488,-0.1,-48.900000000000425,
QLearningAgent,1,489,-0.1,-49.000000000000426,
QLearningAgent,1,490,-0.1,-49.10000000000043,
QLearningAgent,1,491,-0.1,-49.20000000000043,
QLearningAgent,1,492,-0.1,-49.30000000000043,
QLearningAgent,1,493,-0.1,-49.40000000000043,
QLearningAgent,1,494,-0.1,-49.50000000000043,
QLearningAgent,1,495,-0.1,-49.600000000000435,
QLearningAgent,1,496,-0.1,-49.700000000000436,
QLearningAgent,1,497,-0.1,-49.80000000000044,
QLearningAgent,1,498,-0.1,-49.90000000000044,
QLearningAgent,1,499,-0.1,-50.00000000000044,
QLearningAgent,1,500,-0.1,-50.10000000000044,
QLearningAgent,1,501,-0.1,-50.20000000000044,
QLearningAgent,1,502,-0.1,-50.300000000000445,
QLearningAgent,1,503,-0.1,-50.400000000000446,
QLearningAgent,1,504,-0.1,-50.50000000000045,
QLearningAgent,1,505,-0.1,-50.60000000000045,
QLearningAgent,1,506,-0.1,-50.70000000000045,
QLearningAgent,1,507,-0.1,-50.80000000000045,
QLearningAgent,1,508,-0.1,-50.90000000000045,
QLearningAgent,1,509,-0.1,-51.000000000000455,
QLearningAgent,1,510,-0.1,-51.100000000000456,
QLearningAgent,1,511,-0.1,-51.20000000000046,
